geoid,county_name,component,component_score,recommendation_status,corridor
51033,Caroline County,competition,61.304862454160194,Overlap constrained,I-95 Fredericksburg / Stafford
51033,Caroline County,overlap_risk,22.80592952719159,Overlap constrained,I-95 Fredericksburg / Stafford
51035,Carroll County,market_demand,42.544176492233845,Watchlist,Not in a screened corridor
51035,Carroll County,growth,27.614549458310254,Watchlist,Not in a screened corridor
51035,Carroll County,purchasing_power,9.053692971418913,Watchlist,Not in a screened corridor
51035,Carroll County,highway_opportunity,35.21237577163966,Watchlist,Not in a screened corridor
51035,Carroll County,accessibility,98.43398034444049,Watchlist,Not in a screened corridor
51035,Carroll County,commercial_activity,23.6776043735971,Watchlist,Not in a screened corridor
51035,Carroll County,competition,64.58204723689326,Watchlist,Not in a screened corridor
51035,Carroll County,overlap_risk,76.50599683940628,Watchlist,Not in a screened corridor
51036,Charles City County,market_demand,20.199627249717892,Overlap constrained,I-64 Richmond East / New Kent
51036,Charles City County,growth,17.441143810163393,Overlap constrained,I-64 Richmond East / New Kent
51036,Charles City County,purchasing_power,25.891455347113453,Overlap constrained,I-64 Richmond East / New Kent
51036,Charles City County,highway_opportunity,8.470211091817978,Overlap constrained,I-64 Richmond East / New Kent
51036,Charles City County,accessibility,84.6724564872109,Overlap constrained,I-64 Richmond East / New Kent
51036,Charles City County,commercial_activity,6.923425541033533,Overlap constrained,I-64 Richmond East / New Kent
51036,Charles City County,competition,64.89555289659985,Overlap constrained,I-64 Richmond East / New Kent
51036,Charles City County,overlap_risk,8.383046021633234,Overlap constrained,I-64 Richmond East / New Kent
51037,Charlotte County,market_demand,27.424130885146184,Ineligible: no interstate access,Not in a screened corridor
51037,Charlotte County,growth,16.42209453632765,Ineligible: no interstate access,Not in a screened corridor
51037,Charlotte County,purchasing_power,6.333637371854238,Ineligible: no interstate access,Not in a screened corridor
51037,Charlotte County,highway_opportunity,14.09200964258328,Ineligible: no interstate access,Not in a screened corridor
51037,Charlotte County,accessibility,43.101884005557174,Ineligible: no interstate access,Not in a screened corridor
