geoid,county_name,county_type,latitude,longitude,population,population_change_pct,median_household_income,nominal_income_change_pct,real_income_change_pct,max_interstate_segment_adt,distance_to_interstate_mi,nearest_store_distance_mi,nearest_open_store_distance_mi,gas_stations,gas_stations_per_10k,food_service_establishments,population_density,land_area_sq_mi,corridor,vdot_district,market_attractiveness_score,balanced_rank,highway_rank,growth_rank,affluent_rank,underserved_rank,market_demand_score,growth_score,purchasing_power_score,highway_opportunity_score,accessibility_score,commercial_activity_score,low_competition_score,low_overlap_risk_score,recommendation_status,recommendation_reason,overlap_review_flag,development_status,interstate_access_flag,traffic_data_available_flag
51710,Norfolk city,Independent city,36.8947056441924,-76.25695723598537,235037,-4.3,64017.0,30.26,7.35,177000.0,0.6767065099665779,58.33350092734191,177.75270479037678,62.0,2.64,607.0,4411.8,53.27492873397771,I-64 / I-264 Hampton Roads,Hampton Roads,64.22931951502316,11,7,34,22,6,76.68335539626588,21.300786456664316,20.038369375027123,72.72875473784171,98.94201576177642,64.7392881891334,87.61733968127004,48.49484395938908,Feasibility constrained,"Population density 4,412 people per sq mi. Assembling an interchange-scale site of roughly 30 acres is a severe constraint.",FALSE,,TRUE,TRUE
51085,Hanover County,County,37.76010847933636,-77.49067027183683,111652,6.9,109504.0,23.52,1.79,131000.0,1.6505414500475242,32.487150563799425,88.4438670715693,48.0,4.3,216.0,238.8,467.57312134645105,I-95 Richmond North,Richmond,62.6624166679028,12,12,13,13,18,64.11995969284791,62.81861274760016,52.539762126554734,60.60484249107223,97.41133980698764,54.057275454601736,79.81943897108873,26.907428935454348,Priority candidate,"Eligible, balanced rank within top 25, and top 25 in at least 4 of 5 scenarios. Nearest existing or planned store is only 32.5 mi away, so trade-area overlap needs review before siting",TRUE,,TRUE,TRUE
51199,York County,County,37.24309561125934,-76.56337056932863,70590,4.44,108326.0,19.87,-1.21,170000.0,2.458503262424226,29.708312117515955,150.3878895341165,14.0,1.98,148.0,674.2,104.70132234113629,I-64 / I-264 Hampton Roads,Hampton Roads,62.562284327970296,13,9,20,15,14,57.126023726463956,52.176393714519214,51.725486842120866,71.37852101972244,96.14138360836351,46.42376397146684,90.69013552438967,24.586484663608402,Overlap constrained,"Centroid 29.7 mi from an existing or planned store, inside the 30 mi screen",FALSE,,TRUE,TRUE
51069,Frederick County,County,39.204517293710865,-78.26260521870354,93355,9.63,95603.0,30.52,7.56,72000.0,6.246328965012425,68.76483501174012,68.76483501174012,30.0,3.21,117.0,226.0,413.1346482749632,I-81 Winchester / Frederick,Staunton,58.831178645788114,14,14,11,20,13,61.295645223531366,75.50450324248288,41.21247677883401,44.72001514417007,90.1876706275983,40.42399069430733,84.9151089925553,57.20731341700563,Priority candidate,"Eligible, balanced rank within top 25, and top 25 in at least 4 of 5 scenarios",FALSE,,TRUE,TRUE
51161,Roanoke County,County,37.2692562185265,-80.06799304556009,96793,3.43,82931.0,26.68,4.39,78000.0,2.1476983681287933,93.22995593499758,97.64344967406596,26.0,2.69,139.0,386.3,250.54751155433527,I-81 Roanoke / Salem,Salem,58.69281351016827,15,13,22,23,7,61.430274901379356,50.27370046668745,34.642677458911315,45.656095407818384,96.62990744207309,44.607147014741884,87.39078927883904,77.64109658378004,Priority candidate,"Eligible, balanced rank within top 25, and top 25 in at least 4 of 5 scenarios",FALSE,,TRUE,TRUE
51003,Albemarle County,County,38.022742625910794,-78.55678709151258,113683,6.89,102617.0,36.11,12.17,55000.0,0.044072076981192594,30.514987039900056,30.514987039900056,31.0,2.73,186.0,157.8,720.4718479413874,I-64 Charlottesville,Culpeper,58.34989126479934,16,18,15,18,23,63.58105998402557,66.51751024930815,53.39349536730377,40.895289990571634,99.93639199011515,49.906317739183564,87.19956663118789,25.26023651228214,Priority candidate,"Eligible, balanced rank within top 25, and top 25 in at least 4 of 5 scenarios. Nearest existing or planned store is only 30.5 mi away, so trade-area overlap needs review before siting",TRUE,,TRUE,TRUE
51800,Suffolk city,Independent city,36.695234448715404,-76.63994222019359,96638,8.39,90089.0,27.49,5.06,87000.0,13.537609416842164,58.76591602840159,169.97081381092553,31.0,3.21,167.0,242.1,399.16706098927995,I-64 / I-264 Hampton Roads,Hampton Roads,57.38374276149298,17,15,17,24,19,61.97920656256121,69.78679394907542,38.40680565950103,46.96453182362548,78.72721957178639,45.198490463300026,84.9418275764537,48.85600613965415,Priority candidate,"Eligible, balanced rank within top 25, and top 25 in at least 4 of 5 scenarios",FALSE,,TRUE,TRUE
51075,Goochland County,County,37.72210173502301,-77.91564491314162,25613,13.93,118695.0,32.26,9.0,81000.0,3.8815971508132923,52.63036935188091,70.36652838803471,13.0,5.08,34.0,90.8,282.028868427986,I-64 Richmond West,Richmond,56.897858743650936,18,16,6,14,24,39.93195622582117,92.72919601374709,69.00503180874239,44.55147974621739,93.90456142555813,32.167684591526935,76.1745337654056,43.731468607593015,Priority candidate,"Eligible, balanced rank within top 25, and top 25 in at least 4 of 5 scenarios",FALSE,,TRUE,TRUE
51061,Fauquier County,County,38.73842160489501,-77.80893486602362,73935,6.97,129495.0,32.86,9.49,56000.0,7.501334836295759,29.221606735773626,66.11496131554205,30.0,4.06,119.0,114.1,647.9937217867282,I-66 Piedmont,Culpeper,56.31099422149749,19,23,19,16,29,57.82018538861266,65.86349005751475,65.52018150168402,41.43862883594986,88.2150495691133,45.42464664299638,80.95286400216406,24.179978099924487,Overlap constrained,"Centroid 29.2 mi from an existing or planned store, inside the 30 mi screen",FALSE,,TRUE,TRUE
51095,James City County,County,37.32881884572642,-76.77883759238378,80046,7.95,107046.0,28.9,6.22,76000.0,3.0288170839480832,16.79209523719586,137.17906594138748,15.0,1.87,134.0,562.5,142.298215010797,I-64 / I-264 Hampton Roads,Hampton Roads,55.99673477896212,20,21,18,19,28,57.81019002447995,68.49573083273661,53.01769488878398,41.539022621436345,95.24496305765118,44.98945913688956,91.20349549009319,13.798588871252308,Overlap constrained,"Centroid 16.8 mi from an existing or planned store, inside the 30 mi screen",FALSE,,TRUE,TRUE
51121,Montgomery County,County,37.17423215870897,-80.3872732362802,99159,1.19,70769.0,29.52,6.74,53000.0,2.9381433251107594,97.2817220332677,114.3166908568718,32.0,3.23,190.0,256.3,386.84698165275336,I-81 New River Valley,Salem,55.55622857537241,21,19,30,29,10,61.80223641090406,42.41308424363141,22.361799589439734,39.717983447755486,95.38748427625839,48.09312425678287,84.85126581214682,81.02521678307295,Secondary candidate,"Eligible, balanced rank within top 45",FALSE,,TRUE,TRUE
51510,Alexandria city,Independent city,38.81849082354476,-77.08613397192761,156788,0.18,113638.0,17.48,-3.19,,1.1481112107258205,34.25052223289059,104.69345160817919,25.0,1.59,385.0,10497.8,14.935331882655525,I-95 / I-66 Northern Virginia,Northern Virginia,54.75431910283182,22,39,31,8,26,69.99246888378354,34.914151510396394,73.39420757656194,19.505727652899452,98.20106079011913,61.61300974935068,92.51510532268627,28.380234013412828,Traffic data unavailable,"An interstate crosses this jurisdiction but the VDOT extract holds no mainline traffic record for it, so highway exposure could not be measured",FALSE,,TRUE,FALSE
51149,Prince George County,County,37.18645622361585,-77.22435223999155,42873,13.14,88225.0,31.68,8.52,112000.0,4.370617944172132,24.778250319337825,123.25070100909697,14.0,3.27,36.0,161.6,265.34185167006234,I-95 Richmond South,Richmond,53.89712364454848,23,17,10,30,36,49.092084497036176,89.48737326520299,29.51428462110299,50.878871774000515,93.135917439829,22.597172257615018,84.67139380651382,20.46879343703438,Overlap constrained,"Centroid 24.8 mi from an existing or planned store, inside the 30 mi screen",FALSE,,TRUE,TRUE
51760,Richmond city,Independent city,37.52943821192442,-77.47555430944371,227595,1.7,62671.0,38.91,14.47,,1.3901262838904578,26.271937960447495,97.62937077127182,62.0,2.72,680.0,3798.0,59.92501138542493,I-95 Richmond North,Richmond,53.49416346582608,24,35,29,28,35,75.42236314058896,47.182473457613625,24.225071541970816,25.125885463695898,97.82066095238197,70.3573896420353,87.21244608478511,21.71635274700332,Overlap constrained,"Centroid 26.3 mi from an existing or planned store, inside the 30 mi screen",FALSE,,TRUE,FALSE
51127,New Kent County,County,37.505249885693274,-76.99730659376743,24139,14.39,120125.0,50.73,24.21,72000.0,0.8850280617424316,0.544956441795801,120.63234285471832,11.0,4.56,32.0,114.9,210.03428426141633,I-64 Richmond East / New Kent,Richmond,52.72300918017544,25,26,8,21,63,39.7540205127341,100.0,57.86025650456825,42.19669065377422,98.61457547693608,26.627294925355514,78.60895922228205,0.2286370910389316,Reference case,Existing or planned store in county (announced),FALSE,announced,TRUE,TRUE
51740,Portsmouth city,Independent city,36.84526090151264,-76.35537246126195,97299,2.09,58972.0,17.42,-3.24,77000.0,1.8945071355812777,57.30424314068704,175.3755381784377,32.0,3.29,163.0,2921.8,33.300618120911366,I-64 / I-264 Hampton Roads,Hampton Roads,52.34080205060843,26,24,40,46,22,61.801695582033084,42.31785090089899,14.328811248621067,41.419938504191954,97.02787399233016,43.432599087730964,84.56167757804978,47.635186224559476,Feasibility constrained,"Population density 2,922 people per sq mi. Assembling an interchange-scale site of roughly 30 acres is a severe constraint.",FALSE,,TRUE,TRUE
51700,Newport News city,Independent city,37.1049361462107,-76.51807635270906,184774,2.57,66718.0,28.59,5.97,,1.02666789899952,37.875603220389564,157.63373660564247,57.0,3.08,399.0,2678.0,68.99591943563685,I-64 / I-264 Hampton Roads,Hampton Roads,51.82824371179241,27,38,33,36,32,72.28603377114354,47.499123119757726,21.40320578699819,24.624627612976095,98.39194566134167,57.159141217716524,85.5192018357561,31.4079778407541,Traffic data unavailable,"An interstate crosses this jurisdiction but the VDOT extract holds no mainline traffic record for it, so highway exposure could not be measured",FALSE,,TRUE,FALSE
51165,Rockingham County,County,38.51190400170715,-78.87553598684276,84739,6.67,78468.0,31.18,8.11,59000.0,4.057322870813084,11.199758484542118,11.199758484542118,25.0,2.95,92.0,99.7,849.7934655439284,I-81 Harrisonburg / Rockingham,Staunton,51.80629790224492,28,27,23,32,43,60.12711719272046,64.1990445001442,28.303907654655177,40.623994512640074,93.62835534260607,38.65830970148688,86.15110319136801,9.127751683986332,Reference case,Existing or planned store in county (open),FALSE,open,TRUE,TRUE
51600,Fairfax city,Independent city,38.8530760630972,-77.29978189210362,24478,2.57,132774.0,19.0,-1.93,,1.1585567476282772,31.295558077771474,94.56944323242524,9.0,3.68,193.0,3922.2,6.240925946916045,I-95 / I-66 Northern Virginia,Northern Virginia,51.78071701229282,29,44,36,11,45,39.598962627001114,44.65201772638811,72.07815947169922,16.881927055069582,98.18464247166146,100.0,82.74062423400606,25.912185847998114,Ineligible: no interstate access,No interstate crosses this jurisdiction,FALSE,,FALSE,FALSE
51191,Washington County,County,36.72448796285177,-81.96000013325386,53913,-0.91,62774.0,35.69,11.83,63000.0,1.2861142517420179,105.67423846550595,105.67423846550595,39.0,7.23,89.0,96.1,561.1931885708306,I-81 Bristol / Southwest,Bristol,51.734302663467545,30,22,49,39,16,52.10347204562147,36.08507271462522,20.241942543320445,41.25311433254376,97.98414729905701,40.13378450283185,66.0429766475618,88.03482288875634,Secondary candidate,"Eligible, balanced rank within top 45",FALSE,,TRUE,TRUE
51015,Augusta County,County,38.164335676565074,-79.13383110717469,77713,4.03,79972.0,30.45,7.5,69000.0,5.473922045862954,17.327264102787133,17.327264102787133,28.0,3.6,76.0,80.4,967.0734981385931,I-81 Harrisonburg / Rockingham,Staunton,51.17505408926949,31,25,28,37,42,58.72781434558373,53.724313501270274,28.171671211029125,44.70808102456412,91.40174156487262,36.22761813503713,83.08691381536336,14.245573155180576,Overlap constrained,"Centroid 17.3 mi from an existing or planned store, inside the 30 mi screen",FALSE,,TRUE,TRUE
51770,Roanoke city,Independent city,37.278479009502156,-79.95802829000719,98677,-0.95,52671.0,22.41,0.88,,1.1056336409681968,91.2076906120219,93.38290136765329,26.0,2.63,267.0,2320.7,42.52121295866214,I-81 Roanoke / Salem,Salem,50.246997910339836,32,40,58,48,17,61.82014313803454,31.987045700180502,12.55074929014715,21.384381453737173,98.26782713004984,59.875424634207306,87.6315318328148,75.9520580850539,Traffic data unavailable,"An interstate crosses this jurisdiction but the VDOT extract holds no mainline traffic record for it, so highway exposure could not be measured",FALSE,,TRUE,FALSE
51610,Falls Church city,Independent city,38.88468317599331,-77.17510982476391,14593,3.74,154734.0,23.99,2.18,,0.6627876278237512,35.72489992325019,101.62973475966028,6.0,4.11,115.0,7130.9,2.046442599040501,I-95 / I-66 Northern Virginia,Northern Virginia,49.99795969604867,33,56,27,6,56,31.05176948330817,50.67962457380973,98.78945256805888,6.364636511697518,98.96389349211519,90.79800925759866,80.69965051737134,29.611665246687373,Ineligible: no interstate access,No interstate crosses this jurisdiction,FALSE,,FALSE,FALSE
51187,Warren County,County,38.90867051273769,-78.2085443588707,41104,4.2,84331.0,23.67,1.92,56000.0,3.395683495999815,52.92543726038261,54.53143611405752,16.0,3.89,75.0,191.6,214.57181281342017,I-81 Winchester / Frederick,Staunton,49.74752885903569,34,31,35,34,33,48.26111409623118,52.37200203853863,31.78747929535713,35.86423463515283,94.66832160391516,38.1854965865406,81.72765018814066,43.977915526073836,Secondary candidate,"Eligible, balanced rank within top 45",FALSE,,TRUE,TRUE
51650,Hampton city,Independent city,37.05542257566608,-76.36321000028343,137334,1.29,67758.0,24.21,2.36,,1.4438871440036294,46.438449563535116,166.6477235801398,39.0,2.84,254.0,2668.7,51.46070534768177,I-64 / I-264 Hampton Roads,Hampton Roads,49.46233711501607,35,43,46,44,34,67.69631683129822,41.225197796566576,21.427463510026016,22.26368584107099,97.73615951122692,49.260659616518026,86.66954286629677,38.55984706776899,Traffic data unavailable,"An interstate crosses this jurisdiction but the VDOT extract holds no mainline traffic record for it, so highway exposure could not be measured",FALSE,,TRUE,FALSE
51109,Louisa County,County,37.978568848625095,-77.9628498047551,39012,10.27,80343.0,35.39,11.57,41000.0,7.144476223232433,40.8585755635101,58.58096224910609,20.0,5.13,46.0,78.8,495.0778564901033,I-64 Richmond West,Culpeper,48.52705675333078,36,42,21,41,47,47.47675521911844,79.43711162401907,31.922809746579873,31.218248126056515,88.77596074183208,29.759924053869526,75.93475511808332,33.899419033422205,Secondary candidate,"Eligible, balanced rank within top 45",FALSE,,TRUE,TRUE
51171,Shenandoah County,County,38.85823085116827,-78.57111518666056,44630,3.68,64437.0,17.33,-3.31,62000.0,1.2827424378714758,39.73760518411464,39.73760518411464,25.0,5.6,86.0,87.8,508.07929957226145,I-81 Winchester / Frederick,Staunton,48.483348685580225,37,30,42,51,44,49.42500674031633,48.4692490694608,18.77029131396594,40.47606813416119,97.98944712370208,39.56312447214904,73.70509373366197,32.963161013656254,Secondary candidate,"Eligible, balanced rank within top 45. Nearest existing or planned store is only 39.7 mi away, so trade-area overlap needs review before siting",TRUE,,TRUE,TRUE
51019,Bedford County,County,37.315039393010224,-79.52433705109955,80254,3.01,77644.0,26.17,3.97,,17.46592373136834,78.91222075722267,78.91222075722267,25.0,3.12,110.0,105.6,760.1041665571989,I-81 Roanoke / Salem,Salem,48.12433596303024,38,45,43,42,27,58.457820726007995,48.490334677462165,30.091990337493016,23.07287448480137,72.55268627397933,42.21568571596071,85.3771566941627,65.68262325435427,Ineligible: no interstate access,No interstate crosses this jurisdiction,FALSE,,FALSE,FALSE
51033,Caroline County,County,38.02663354350289,-77.34721366811937,31541,4.5,86267.0,33.3,9.86,104000.0,8.266341776638694,27.57647503343668,88.94605432709196,26.0,8.24,34.0,59.8,527.3626977472132,I-95 Fredericksburg / Stafford,Fredericksburg,47.68209783121248,39,28,38,45,70,44.65608174062938,56.396665309912166,32.04173275191609,50.13966563509349,87.01260993521383,23.625548760076335,61.304862454160194,22.80592952719159,Overlap constrained,"Centroid 27.6 mi from an existing or planned store, inside the 30 mi screen",FALSE,,TRUE,TRUE
51023,Botetourt County,County,37.557021281491565,-79.8124506938858,33875,1.97,80467.0,17.62,-3.06,42000.0,5.085371707527043,73.36696595286129,73.36696595286129,17.0,5.02,42.0,62.6,541.2762199198402,I-81 Roanoke / Salem,Salem,47.589024028162854,40,33,51,43,30,45.01625682577564,41.91095441966279,30.936968766799975,34.47296952608035,92.01246586283875,31.69466252153609,76.44255842558425,61.05110989980072,Secondary candidate,"Eligible, balanced rank within top 45",FALSE,,TRUE,TRUE
51683,Manassas city,Independent city,38.747892933949444,-77.4838482435972,42674,2.94,117919.0,50.29,23.85,,4.010537178886004,22.889629454089313,82.76217627351645,11.0,2.58,131.0,4335.5,9.84299769495573,I-95 / I-66 Northern Virginia,Northern Virginia,47.55244356192921,41,48,32,25,58,49.42423531074283,55.37915355755253,52.021947945243284,16.232383798364086,93.70189319867742,54.898529155454774,87.89993126181437,18.89137759814321,Overlap constrained,"Centroid 22.9 mi from an existing or planned store, inside the 30 mi screen",FALSE,,FALSE,FALSE
51155,Pulaski County,County,37.063499121426894,-80.71441914004045,33771,-1.35,60767.0,15.44,-4.86,47000.0,0.3516429629804649,104.3028747273504,132.6290562993992,20.0,5.92,56.0,105.6,319.838901072227,I-81 New River Valley,Salem,47.06998704087613,42,32,61,54,21,44.851638045314964,28.36352963787081,17.16287068322033,33.39138352717035,99.45295137793806,33.22170013223659,72.20001381856227,86.88943107335726,Secondary candidate,"Eligible, balanced rank within top 45",FALSE,,TRUE,TRUE
51540,Charlottesville city,Independent city,38.037491026418785,-78.48551448647301,45863,-2.51,69829.0,18.49,-2.35,,1.8710667542380826,32.510192378921175,32.510192378921175,16.0,3.49,291.0,4476.5,10.245312669237533,I-64 Charlottesville,Culpeper,46.57818769959279,43,47,68,33,55,49.90639335991008,24.761716035896068,30.71414914009829,17.46514363030064,97.06471763658277,86.8528747944678,83.62369084737878,26.92667394370277,Traffic data unavailable,"An interstate crosses this jurisdiction but the VDOT extract holds no mainline traffic record for it, so highway exposure could not be measured",FALSE,,TRUE,FALSE
51197,Wythe County,County,36.917127660077234,-81.0788016112478,28219,-2.49,55359.0,15.23,-5.04,61000.0,2.571947272972624,114.89408400061575,154.4626272057094,29.0,10.28,58.0,61.1,461.9521198669843,I-81 New River Valley,Bristol,46.450175168670896,44,29,69,62,25,42.176615696312865,23.871590503039265,13.005115213158275,39.67549775550144,95.96307205677059,37.49905623960299,51.75915754160908,95.73543164873553,Secondary candidate,"Eligible, balanced rank within top 45",FALSE,,TRUE,TRUE
51145,Powhatan County,County,37.55019850472224,-77.91523835095948,31074,8.75,110667.0,31.88,8.68,,12.963280811940582,50.4647061784187,78.34412414713664,13.0,4.18,34.0,119.4,260.20246166789235,Not in a screened corridor,Richmond,46.36784645489229,45,49,25,27,50,43.72292394558715,72.48892822207644,51.18332152598116,20.52464063012846,79.62995056806504,29.905571191632312,80.36166355581301,41.92266121041694,Ineligible: no interstate access,No interstate crosses this jurisdiction,FALSE,,FALSE,FALSE
51093,Isle of Wight County,County,36.89113585486515,-76.72605184112004,39444,8.45,96118.0,34.66,10.98,,16.236998948926747,44.439914706606665,157.4021770028039,18.0,4.56,62.0,124.9,315.68541327934116,I-64 / I-264 Hampton Roads,Hampton Roads,45.773748593669254,46,54,26,38,61,47.80824451264399,72.1485796463981,43.19394997201352,20.502789656875436,74.48431301821076,34.43534029889228,78.57849102525098,36.890628753017296,Ineligible: no interstate access,No interstate crosses this jurisdiction,FALSE,,FALSE,FALSE
51053,Dinwiddie County,County,37.075916122411805,-77.63233854938537,28083,-0.79,83898.0,50.14,23.73,62000.0,2.0720847862353695,45.42332642524563,113.23289895997421,12.0,4.27,18.0,55.7,503.8856509772527,I-95 Richmond South,Richmond,45.52236936620859,47,34,59,50,46,42.41902867649223,40.841301209715965,30.235913856957772,38.09711882112649,96.7487570405996,19.07666972222633,79.94160168073212,37.71199488831527,Watchlist,Eligible but outside the screened ranking cutoffs,FALSE,,TRUE,TRUE
51630,Fredericksburg city,Independent city,38.29920308737317,-77.48716213683906,28383,-0.3,85368.0,34.92,11.19,,0.884853141553333,8.261032670797011,78.34448635827337,11.0,3.88,185.0,2716.0,10.450433688086951,I-95 Fredericksburg / Stafford,Fredericksburg,45.240183129425255,48,55,60,31,78,42.817751393295254,38.22669423463514,37.0473109159678,16.752912654440838,98.61485041688374,84.63463272085521,81.80747865506346,6.673266122560594,Overlap constrained,"Centroid 8.3 mi from an existing or planned store, inside the 30 mi screen",FALSE,,TRUE,FALSE
51680,Lynchburg city,Independent city,37.400283032940834,-79.19086755767161,79255,-1.09,59808.0,37.89,13.64,,25.40506763611711,67.47347078400712,67.47347078400712,25.0,3.15,250.0,1618.2,48.976453016822504,Not in a screened corridor,Lynchburg,44.55878227780478,49,59,67,66,40,58.17598286276691,36.03880518228107,12.669808920205114,21.759295090376174,60.07392198195601,60.06390098744073,85.19283746556474,56.12873887402268,Ineligible: no interstate access,No interstate crosses this jurisdiction,FALSE,,FALSE,FALSE
51173,Smyth County,County,36.84373677482819,-81.5369889402897,29585,-4.75,46859.0,15.92,-4.47,36000.0,1.4783207667886085,130.37189731416453,130.37189731416453,15.0,5.07,50.0,65.5,451.4396912997088,I-81 Bristol / Southwest,Bristol,44.183256992222795,50,37,89,71,20,42.15198417349814,15.29496423639272,5.817888729088967,30.338519884476355,97.68203666528666,30.73746293464134,76.19993239817475,99.99999999999999,Watchlist,Eligible but outside the screened ranking cutoffs,FALSE,,TRUE,TRUE
51043,Clarke County,County,39.11227459409947,-77.99671134672785,15060,4.84,114185.0,46.51,20.74,,9.04932969923821,56.12667412984704,72.53763819940964,7.0,4.65,23.0,85.6,175.9582328510682,I-81 Winchester / Frederick,Staunton,43.89268163542799,51,52,37,26,57,32.29579961453612,61.639593101915494,57.16964304535173,19.954743413382083,85.78190775285687,26.232599638928964,78.18116423196105,46.65165583830485,Ineligible: no interstate access,No interstate crosses this jurisdiction,FALSE,,FALSE,FALSE
