geoid,county_name,corridor,attractiveness_rank,weighted_score,recommendation_status,reason,store_status,overlap_flag,dist_any_bucees_mi,dist_open_bucees_mi,interstate_max_aadt,pop_density_sqmi,total_population,pop_growth_pct,scenarios_in_top25
51023,Botetourt County,I-81 Roanoke / Salem,40,47.589024028162854,Secondary candidate,"Eligible, balanced rank within top 45",,,73.36696595286129,73.36696595286129,42000.0,62.6,33875,1.97,0
51683,Manassas city,I-95 / I-66 Northern Virginia,41,47.55244356192921,Overlap constrained,"Centroid 22.9 mi from an existing or planned store, inside the 30 mi screen",,,22.889629454089313,82.76217627351645,,4335.5,42674,2.94,1
51155,Pulaski County,I-81 New River Valley,42,47.06998704087613,Secondary candidate,"Eligible, balanced rank within top 45",,,104.3028747273504,132.6290562993992,47000.0,105.6,33771,-1.35,1
51540,Charlottesville city,I-64 Charlottesville,43,46.57818769959279,Traffic data unavailable,"An interstate crosses this jurisdiction but the VDOT extract holds no mainline traffic record for it, so highway exposure could not be measured",,,32.510192378921175,32.510192378921175,,4476.5,45863,-2.51,0
51197,Wythe County,I-81 New River Valley,44,46.450175168670896,Secondary candidate,"Eligible, balanced rank within top 45",,,114.89408400061575,154.4626272057094,61000.0,61.1,28219,-2.49,1
51145,Powhatan County,Not in a screened corridor,45,46.36784645489229,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,50.4647061784187,78.34412414713664,,119.4,31074,8.75,1
51093,Isle of Wight County,I-64 / I-264 Hampton Roads,46,45.773748593669254,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,44.439914706606665,157.4021770028039,,124.9,39444,8.45,0
51053,Dinwiddie County,I-95 Richmond South,47,45.52236936620859,Watchlist,Eligible but outside the screened ranking cutoffs,,,45.42332642524563,113.23289895997421,62000.0,55.7,28083,-0.79,0
51630,Fredericksburg city,I-95 Fredericksburg / Stafford,48,45.240183129425255,Overlap constrained,"Centroid 8.3 mi from an existing or planned store, inside the 30 mi screen",,,8.261032670797011,78.34448635827337,,2716.0,28383,-0.3,0
51680,Lynchburg city,Not in a screened corridor,49,44.55878227780478,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,67.47347078400712,67.47347078400712,,1618.2,79255,-1.09,0
51173,Smyth County,I-81 Bristol / Southwest,50,44.183256992222795,Watchlist,Eligible but outside the screened ranking cutoffs,,,130.37189731416453,130.37189731416453,36000.0,65.5,29585,-4.75,1
51043,Clarke County,I-81 Winchester / Frederick,51,43.89268163542799,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,56.12667412984704,72.53763819940964,,85.6,15060,4.84,0
51047,Culpeper County,I-66 Piedmont,52,43.89243715172683,Overlap constrained,"Centroid 27.4 mi from an existing or planned store, inside the 30 mi screen",,,27.429391826883666,53.48589898723396,,141.3,53563,6.17,0
51775,Salem city,I-81 Roanoke / Salem,53,43.775426932384775,Traffic data unavailable,"An interstate crosses this jurisdiction but the VDOT extract holds no mainline traffic record for it, so highway exposure could not be measured",,,93.97686990465357,96.2877329498309,,1755.2,25477,-0.16,0
51035,Carroll County,Not in a screened corridor,54,43.771515261855825,Watchlist,Eligible but outside the screened ranking cutoffs,,,91.87091476873829,149.8799301586317,46000.0,61.4,29158,-1.95,0
51840,Winchester city,I-81 Winchester / Frederick,55,43.46042387537316,Traffic data unavailable,"An interstate crosses this jurisdiction but the VDOT extract holds no mainline traffic record for it, so highway exposure could not be measured",,,64.99703609497269,69.61509908241868,,3043.8,27981,0.69,0
51073,Gloucester County,Not in a screened corridor,56,43.27822971964154,Overlap constrained,"Centroid 25.7 mi from an existing or planned store, inside the 30 mi screen",,,25.67346210758199,145.51719418256715,,180.1,39228,5.56,0
51163,Rockbridge County,I-81 Roanoke / Salem,57,42.9567635923957,Watchlist,Eligible but outside the screened ranking cutoffs,,,46.91517240384736,46.91517240384736,49000.0,37.8,22578,0.31,0
51067,Franklin County,Not in a screened corridor,58,42.41897446781458,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,71.46224648022745,107.73094122418347,,79.6,54958,-2.27,0
51570,Colonial Heights city,I-95 Richmond South,59,41.78236658187832,Overlap constrained,"Centroid 27.1 mi from an existing or planned store, inside the 30 mi screen",,,27.13783670627496,112.5507872662901,,2421.7,18210,3.51,0
51830,Williamsburg city,Not in a screened corridor,60,41.758093311672795,Overlap constrained,"Centroid 22.5 mi from an existing or planned store, inside the 30 mi screen",,,22.468572385803625,142.68429665689203,,1741.3,15564,5.25,0
51137,Orange County,Not in a screened corridor,61,41.74661522545775,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,32.440231316891364,50.187129544148995,,109.3,37208,4.48,0
51065,Fluvanna County,I-64 Charlottesville,62,41.44672968344727,Traffic data unavailable,"An interstate crosses this jurisdiction but the VDOT extract holds no mainline traffic record for it, so highway exposure could not be measured",,,50.07305441568293,50.07305441568293,,96.7,27764,5.64,0
51099,King George County,Not in a screened corridor,63,41.294163241777724,Overlap constrained,"Centroid 19.1 mi from an existing or planned store, inside the 30 mi screen",,,19.100329071333025,96.36072149784998,,152.9,27468,6.1,0
51678,Lexington city,I-81 Roanoke / Salem,64,41.09625137798352,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,48.57454116683595,48.57454116683595,,2968.9,7420,4.36,1
51660,Harrisonburg city,I-81 Harrisonburg / Rockingham,65,40.84864870324485,Overlap constrained,"Centroid 6.3 mi from an existing or planned store, inside the 30 mi screen",,,6.317056504766619,6.317056504766619,,2970.3,51492,-3.56,0
51031,Campbell County,Not in a screened corridor,66,40.7144769213673,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,79.60509606108509,79.90724777310032,,110.1,55398,0.41,0
51790,Staunton city,I-81 Harrisonburg / Rockingham,67,39.87324179899413,Overlap constrained,"Centroid 15.4 mi from an existing or planned store, inside the 30 mi screen",,,15.356743852581005,15.356743852581005,,1293.4,25765,5.37,0
51117,Mecklenburg County,I-95 / I-85 Southside,68,39.767529817167045,Watchlist,Eligible but outside the screened ranking cutoffs,,,67.82908323860201,119.65369715536437,28000.0,48.7,30431,-1.35,0
51730,Petersburg city,I-95 Richmond South,69,39.73955700237606,Overlap constrained,"Centroid 29.6 mi from an existing or planned store, inside the 30 mi screen",,,29.58617218728297,115.6366365971157,,1468.5,33365,4.83,0
51735,Poquoson city,Not in a screened corridor,70,39.49432347382313,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,43.468250360451115,164.14070445625097,,817.6,12556,4.29,0
51079,Greene County,Not in a screened corridor,71,38.62432961940232,Overlap constrained,"Centroid 25.3 mi from an existing or planned store, inside the 30 mi screen",,,25.30742196053764,25.30742196053764,,133.7,20850,7.42,0
51520,Bristol city,I-81 Bristol / Southwest,72,38.538746595108805,Traffic data unavailable,"An interstate crosses this jurisdiction but the VDOT extract holds no mainline traffic record for it, so highway exposure could not be measured",,,92.32409864368151,92.32409864368151,,1322.6,17024,1.07,0
51185,Tazewell County,Not in a screened corridor,73,38.536860737517024,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,139.11341796814946,139.11341796814946,,77.0,39933,-5.1,0
51101,King William County,Not in a screened corridor,74,38.52772705676447,Overlap constrained,"Centroid 15.2 mi from an existing or planned store, inside the 30 mi screen",,,15.230293878417877,109.84638158701377,,66.6,18232,10.52,0
51009,Amherst County,Not in a screened corridor,75,38.31467495853122,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,53.14586214685882,53.14586214685882,,66.2,31385,-1.56,0
51820,Waynesboro city,I-81 Harrisonburg / Rockingham,76,37.676062247499104,Overlap constrained,"Centroid 19.9 mi from an existing or planned store, inside the 30 mi screen",,,19.885478350977696,19.885478350977696,,1508.0,22574,2.96,0
51005,Alleghany County,Not in a screened corridor,77,37.59958262445171,Watchlist,Eligible but outside the screened ranking cutoffs,,,70.78700619733439,70.78700619733439,18000.0,33.5,14962,-2.12,0
51071,Giles County,I-81 New River Valley,78,36.98053504350447,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,115.97944213014117,121.02010322534552,,46.5,16610,-1.21,0
51063,Floyd County,Not in a screened corridor,79,36.69271615226189,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,83.81469090905881,126.05415993959727,,40.8,15560,-0.68,0
51750,Radford city,I-81 New River Valley,80,36.45901533603219,Traffic data unavailable,"An interstate crosses this jurisdiction but the VDOT extract holds no mainline traffic record for it, so highway exposure could not be measured",,,100.86666107289487,123.540015731325,,1705.7,16505,-6.38,0
51143,Pittsylvania County,Not in a screened corridor,81,36.32743373626519,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,52.405018000147955,109.01946005170782,,62.1,60148,-2.48,0
51021,Bland County,Not in a screened corridor,82,36.307200009359946,Watchlist,Eligible but outside the screened ranking cutoffs,,,125.44916839237258,147.45529291932246,32000.0,17.4,6211,-3.66,0
51089,Henry County,Not in a screened corridor,83,36.233863103689515,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,52.99676729830938,126.69326810376491,,131.7,50365,-2.37,0
51139,Page County,I-81 Harrisonburg / Rockingham,84,36.1209374935459,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,30.148172848648777,30.148172848648777,,76.6,23750,0.0,0
51113,Madison County,Not in a screened corridor,85,36.08866084785825,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,35.40912711760141,35.40912711760141,,43.4,13931,6.03,0
51685,Manassas Park city,I-95 / I-66 Northern Virginia,86,36.01803168120416,Overlap constrained,"Centroid 24.4 mi from an existing or planned store, inside the 30 mi screen",,,24.448176211841798,85.36939973441892,,5578.1,16923,3.04,0
51167,Russell County,I-81 Bristol / Southwest,87,35.94262790969946,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,107.28649154803394,107.28649154803394,,54.1,25635,-6.47,0
51025,Brunswick County,I-95 / I-85 Southside,88,35.75373134427455,Watchlist,Eligible but outside the screened ranking cutoffs,,,69.35693470119168,124.42493700398208,26000.0,28.0,15868,-4.78,0
51590,Danville city,Not in a screened corridor,89,35.24378229174303,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,36.167559806229065,125.18154063118646,,986.8,42239,1.75,0
51081,Greensville County,I-95 / I-85 Southside,90,35.030562321779584,Watchlist,Eligible but outside the screened ranking cutoffs,,,64.57749730935883,138.08606362348462,43000.0,38.3,11304,-3.04,0
51670,Hopewell city,Not in a screened corridor,91,35.000720383095384,Overlap constrained,"Centroid 21.8 mi from an existing or planned store, inside the 30 mi screen",,,21.75620884941087,115.42655840360054,,2215.9,22944,2.39,0
51157,Rappahannock County,I-66 Piedmont,92,34.404350228151635,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,42.260677243418996,47.43643998060785,,27.8,7409,1.05,0
51195,Wise County,Not in a screened corridor,93,34.05977418716397,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,88.26705043577167,88.26705043577167,,88.6,35727,-8.45,0
51175,Southampton County,Not in a screened corridor,94,34.04060203312312,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,53.91473250235252,150.721076388537,,30.0,17988,0.27,0
51135,Nottoway County,Not in a screened corridor,95,33.81860903889912,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,62.907397834424,96.41165485321646,,49.6,15597,0.63,0
51640,Galax city,Not in a screened corridor,96,33.6652310244708,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,98.9393965655524,157.95915092619003,,813.2,6698,0.9,0
51169,Scott County,I-81 Bristol / Southwest,97,33.60376155861326,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,75.80465742859981,75.80465742859981,,40.1,21504,-2.29,0
51131,Northampton County,Not in a screened corridor,98,33.35448421310489,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,62.59250168082665,180.77328666755201,,57.2,12115,1.32,0
51077,Grayson County,Not in a screened corridor,99,33.330826006358464,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,114.55313003189059,141.43761540865907,,34.7,15323,-3.09,0
51001,Accomack County,Not in a screened corridor,100,33.2792545631249,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,77.08668337521483,184.14125800002392,,74.2,33326,1.78,0
51183,Sussex County,Not in a screened corridor,101,33.24655643653206,Watchlist,Eligible but outside the screened ranking cutoffs,,,42.26920713617073,134.60242398495384,39000.0,22.0,10793,-6.03,0
51083,Halifax County,Not in a screened corridor,102,33.04722113189175,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,52.725604757141,109.6363510433746,,41.3,33811,-2.78,0
51690,Martinsville city,Not in a screened corridor,103,32.947836959601396,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,52.648363626970855,126.46471274472253,,1239.9,13584,3.69,0
51125,Nelson County,I-64 Charlottesville,104,32.93256437571785,Traffic data unavailable,"An interstate crosses this jurisdiction but the VDOT extract holds no mainline traffic record for it, so highway exposure could not be measured",,,39.23949407794039,39.23949407794039,,31.4,14777,-0.24,0
51193,Westmoreland County,Not in a screened corridor,105,32.61223586570604,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,41.30831284538942,116.72167798389381,,81.5,18683,5.92,0
51011,Appomattox County,Not in a screened corridor,106,32.44321995560894,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,68.11646653850154,68.11646653850154,,49.1,16424,5.44,0
51103,Lancaster County,Not in a screened corridor,107,32.39801425020597,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,33.63424227475978,141.04736842425396,,81.6,10876,0.67,0
51147,Prince Edward County,Not in a screened corridor,108,32.26584214490065,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,81.60925629605191,82.44026649715944,,62.7,21932,-4.46,0
51007,Amelia County,Not in a screened corridor,109,32.17171492985065,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,54.891912509805515,87.46254634273105,,37.5,13342,3.8,0
51119,Middlesex County,Not in a screened corridor,110,32.16144055079665,Overlap constrained,"Centroid 25.3 mi from an existing or planned store, inside the 30 mi screen",,,25.285929922329775,138.04749530359493,,82.7,10774,0.69,0
51141,Patrick County,Not in a screened corridor,111,31.721945787409396,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,68.94375735834423,137.8179017766473,,36.5,17606,-1.42,0
51111,Lunenburg County,Not in a screened corridor,112,30.36438128752939,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,78.3309413011235,104.25531094586562,,27.8,11990,-2.35,0
51027,Buchanan County,Not in a screened corridor,113,30.277714736545704,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,125.02660963628405,125.02660963628405,,39.5,19857,-10.3,0
51530,Buena Vista city,Not in a screened corridor,114,30.131628076731243,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,49.01201933833644,49.01201933833644,,1027.0,6612,3.33,0
51029,Buckingham County,Not in a screened corridor,115,29.65859335219669,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,58.23448160633133,58.23448160633133,,29.2,16914,-0.53,0
51580,Covington city,Not in a screened corridor,116,29.232859388469873,Traffic data unavailable,"An interstate crosses this jurisdiction but the VDOT extract holds no mainline traffic record for it, so highway exposure could not be measured",,,70.25801575256217,70.25801575256217,,1037.0,5671,1.59,0
51049,Cumberland County,Not in a screened corridor,117,29.04153808172323,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,68.48900535697143,69.07725950230046,,32.8,9745,-0.42,0
51181,Surry County,Not in a screened corridor,118,28.770311763975,Overlap constrained,"Centroid 27.3 mi from an existing or planned store, inside the 30 mi screen",,,27.279347119818464,140.37768776667284,,23.5,6552,-0.73,0
51045,Craig County,Not in a screened corridor,119,28.738697188032145,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,92.64656528985127,92.64656528985127,,14.9,4881,-4.54,0
51595,Emporia city,I-95 / I-85 Southside,120,28.231120273923707,Traffic data unavailable,"An interstate crosses this jurisdiction but the VDOT extract holds no mainline traffic record for it, so highway exposure could not be measured",,,62.76599943335468,137.6786453472346,,815.9,5633,4.68,0
51159,Richmond County,Not in a screened corridor,121,28.102742063187407,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,34.16883739519998,123.27791514034136,,47.2,9047,1.9,0
51620,Franklin city,Not in a screened corridor,122,28.098896431800895,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,56.25685623399984,158.85467862026135,,992.1,8212,0.01,0
51133,Northumberland County,Not in a screened corridor,123,27.7556008136671,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,41.61087211392666,140.39713111839671,,63.1,12085,-1.13,0
51051,Dickenson County,Not in a screened corridor,124,27.57078219354324,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,105.96823490416229,105.96823490416229,,42.1,13920,-6.95,0
51115,Mathews County,Not in a screened corridor,125,27.474054877517187,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,36.27204712163747,154.79032894329916,,99.1,8517,-3.17,0
51057,Essex County,Not in a screened corridor,126,27.412558067385113,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,30.819142601706712,111.30036568370541,,41.2,10604,-3.91,0
51105,Lee County,Not in a screened corridor,127,26.72217784604678,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,56.91906566253336,56.91906566253336,,50.6,22042,-8.67,0
51037,Charlotte County,Not in a screened corridor,128,26.678710462096646,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,74.65309610732356,93.8606605570616,,24.1,11475,-5.13,0
51097,King and Queen County,Not in a screened corridor,129,25.14747246995536,Overlap constrained,"Centroid 16.3 mi from an existing or planned store, inside the 30 mi screen",,,16.281500450736104,119.24713667243275,,21.2,6676,-5.33,0
51036,Charles City County,I-64 Richmond East / New Kent,130,25.14622126031768,Overlap constrained,"Centroid 10.3 mi from an existing or planned store, inside the 30 mi screen",,,10.30813142101685,123.06435469786472,,36.6,6686,-4.42,0
51017,Bath County,Not in a screened corridor,131,24.455663437625667,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,48.877935249065224,48.877935249065224,,7.8,4123,-6.15,0
51720,Norton city,Not in a screened corridor,132,23.169449294118852,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,85.75210410751424,85.75210410751424,,484.1,3620,-9.27,0
51091,Highland County,Not in a screened corridor,133,22.597062561604442,Ineligible: no interstate access,No interstate crosses this jurisdiction,,,34.91829078612564,34.91829078612564,,5.5,2265,2.3,0
